Product;Paging touch screen;Paging volume key;Backward-forward;Contents table;Bookmarks;Resume;Go to;Search full text;Sync to cloud;Autoscroll by pixel;Autoscroll by line;Autoscroll by page;Scroll speed control;Rolling blind mode;Continuous scrolling
Aldiko Book Reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;No;No;No;No;No;?
AlReader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes
Bookari;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes
Cool Reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;?;?;Yes
EBookDroid;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;?;?;Yes
Ebook Reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No
eReader Prestigio;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No
FBReader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No
Google Play Books;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;?;No
iReader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;No;Yes;Yes;Yes;No;?
Kindle;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;?;No
Kobo Books;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;No;No;No;No;No;No
KOReader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;?;?;?;?;?;Yes
Lektz eBook Reader;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;?
Librera;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes
Moon+ reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
MReader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes
PocketBook;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes
Snapplify;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;?
Socio eReader;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;?;No;No;No;No;No;?
Product;Paging touch screen;Paging volume key;Backward-forward;Contents table;Bookmarks;Resume;Go to;Search full text;Sync to cloud;Autoscroll by pixel;Autoscroll by line;Autoscroll by page;Scroll speed control;Rolling blind mode;Continuous scrolling
