 Model ; USB ; Gigabit Ethernet ; AirPort Extreme ; Bluetooth ; Video interface ; SDcard slot ; Keyboard and mouse ; iSight/Facetime Camera ; Remote IRreceiver 
 Mac mini ;4 ;yes ;yes ;yes ;HDMI and Thunderbolt 2 ;yes ;no ;no ;yes 
 iMac 21.5in ;4 ;yes ;yes ;yes ;Thunderbolt 3 ;yes ;yes ;yes ;no 
 iMac 21.5in Retina Display ;4 ;yes ;yes ;yes ;Thunderbolt 3 ;yes ;yes ;yes ;no 
 iMac 27in ;4 ;yes ;yes ;yes ;Thunderbolt 3 ;yes ;yes ;yes ;no 
 Mac Pro Quad-Core ;4 ;2 ;yes ;yes ;HDMI and Thunderbolt 2 ;no ;no ;no ;no 
 Mac Pro 6-Core ;4 ;2 ;yes ;yes ;HDMI and Thunderbolt 2 ;no ;no ;no ;no 
 MacBook Air ;2 ;no ;yes ;yes ;Thunderbolt 2 ;yes ;Integrated ;yes ;no 
 MacBook Pro 13in 2.0GHz ;2 USB-C ;no ;yes ;yes ;Thunderbolt 3 ;no ;Integrated ;yes ;no 
 MacBook Pro 13in 2.9GHz ;4 USB-C ;no ;yes ;yes ;Thunderbolt 3 ;no ;Integrated ;yes ;no 
 MacBook Pro 15in 2.6GHz ;4 USB-C ;no ;yes ;yes ;Thunderbolt 3 ;no ;Integrated ;yes ;no 
 MacBook Pro 15in 2.7GHz ;4 USB-C ;no ;yes ;yes ;Thunderbolt 3 ;no ;Integrated ;yes ;no 
 MacBook Pro 13in 2.7GHz ;2 ;no ;yes ;yes ;HDMI and Thunderbolt 2 ;yes ;Integrated ;yes ;no 
 MacBook Pro 15in 2.2GHz ;2 ;no ;yes ;yes ;HDMI and Thunderbolt 2 ;yes ;Integrated ;yes ;no 
