 Codec ; Windows ; macOS ; Linux ; BSD ; Unix ; Palm OS ; Symbian OS ; Rockbox ; iOS ; Android{{cite web|title=Supported Media Formats|url= ; Chromium{{cite web|title=The Chromium Project Audio/Video (Chrome OS) |url= 
 AAC ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Yes ; yes ; yes 
 AC-3 ; yes ; Dunno ; yes ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; Dunno ; Dunno 
 ALAC ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; Yes ; no ; no 
 ALS ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno 
 aptX ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; No ; yes ; no 
 CELT ; yes ; yes ; yes ; yes ; yes ; yes ; no ; Yes ; No ; no ; no 
 E-AC3 ; yes ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; Dunno ; Dunno 
 FLAC ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Yes ; yes ; yes 
 Monkey's Audio ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; No ; no ; no 
 MP3 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Yes ; yes ; yes 
 Musepack ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; No ; no ; no 
 Opus ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; Yes ; yes ; yes 
 RealAudioThe ffmpeg project has reverse engineered some codecs of the RealAudio and Windows Media Audio (DivX Audio v1 and DivX Audio v2) formats. This enables their use on any POSIX compatible system. ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; No ; no ; no 
 Speex ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; No ; no ; no 
 Vorbis ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Dunno ; yes ; yes 
 True Audio (TTA) ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Dunno ; yes ; yes 
 WavPack ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Dunno ; no ; no 
 WMA ; yes ; yesMicrosoft has outsourced their WMA support on Mac OS X to Telestream, Inc. who created and maintain Windows Media Components for QuickTime, replacing Windows Media Player for Mac OS. ; yes ; yes ; yes ; yes ; yes ; yes ; Dunno ; yes ; no 
